Time (ms),Main Avg Power (mW)
16086.40,88.0591
16086.60,87.9854
16086.80,88.1261
16087.00,88.0323
16087.20,88.1361
16087.40,88.1127
16087.60,88.0089
16087.80,88.1595
16088.00,88.1127
16088.20,88.1428
16088.40,88.1964
16088.60,88.2232
16088.80,87.8716
16089.00,88.27
16089.20,88.1361
16089.40,87.9151
16089.60,88.3571
16089.80,88.1461
16090.00,88.2801
16090.20,88.1964
16090.40,87.9854
16090.60,87.9787
16090.80,88.2098
16091.00,88.0357
16091.20,88.0993
16091.40,88.0457
16091.60,88.3068
16091.80,87.9386
16092.00,87.9587
16092.20,88.0993
16092.40,88.0782
16092.60,88.0122
16092.80,87.9988
16093.00,87.9654
16093.20,87.9017
16093.40,87.8348
16093.60,87.9787
16093.80,87.8515
16094.00,87.818
16094.20,87.8247
16094.40,87.9408
16094.60,87.8147
16094.80,87.9654
16095.00,87.7243
16095.20,87.8415
16095.40,87.6908
16095.60,87.9352
16095.80,87.7176
16096.00,87.8716
16096.20,87.5904
16096.40,87.8515
16096.60,87.6875
16096.80,87.5803
16097.00,87.7444
16097.20,87.6808
16097.40,87.818
16097.60,87.8716
16097.80,87.7645
16098.00,87.7377
16098.20,87.8616
16098.40,87.741
16098.60,87.664
16098.80,87.8649
16099.00,87.6406
16099.20,87.8147
16099.40,87.654
16099.60,87.8381
16099.80,87.7645
16100.00,87.7009
16100.20,87.731
16100.40,87.8281
16100.60,87.818
16100.80,87.8281
16101.00,87.7377
16101.20,87.8113
16101.40,87.5837
16101.60,87.6707
16101.80,87.9486
16102.00,87.885
16102.20,87.8113
16102.40,87.972
16102.60,88.1964
16102.80,88.1595
16103.00,87.875
16103.20,88.1696
16103.40,87.8716
16103.60,88.1194
16103.80,88.1863
16104.00,88.193
16104.20,87.9218
16104.40,87.8616
16104.60,87.8917
16104.80,87.9854
16105.00,87.9285
16105.20,88.1696
16105.40,87.972
16105.60,88.193
16105.80,87.9988
16106.00,88.1595
16106.20,88.1227
16106.40,88.2734
16106.60,88.1629
16106.80,87.962
16107.00,88.2566
16107.20,88.1127
16107.40,88.2332
16107.60,88.2365
16107.80,88.3972
16108.00,88.2868
16108.20,88.3336
16108.40,88.4642
16108.60,88.2566
16108.80,88.2801
16109.00,88.2299
16109.20,88.4307
16109.40,88.1495
16109.60,88.3537
16109.80,88.1997
16110.00,88.1629
16110.20,88.1361
16110.40,88.2232
16110.60,88.2332
16110.80,88.0993
16111.00,87.972
16111.20,88.0959
16111.40,88.1227
16111.60,88.1227
16111.80,88.2566
16112.00,88.1888
16112.20,88.0457
16112.40,88.0691
16112.60,88.2499
16112.80,87.952
16113.00,88.2232
16113.20,88.0624
16113.40,87.7745
16113.60,88.1863
16113.80,87.8549
16114.00,87.8783
16114.20,88.0256
16114.40,87.875
16114.60,88.0524
16114.80,87.8649
16115.00,87.6774
16115.20,87.7779
16115.40,87.8113
16115.60,87.9252
16115.80,88.0022
16116.00,87.8147
16116.20,87.875
16116.40,87.7377
16116.60,87.798
16116.80,87.9787
16117.00,87.9486
16117.20,87.6306
16117.40,87.6439
16117.60,87.7176
16117.80,87.9419
16118.00,87.9017
16118.20,88.1093
16118.40,87.7913
16118.60,87.8482
16118.80,87.7611
16119.00,87.8281
16119.20,87.8549
16119.40,87.6272
16119.60,87.7779
16119.80,87.8549
16120.00,87.8716
16120.20,87.7879
16120.40,87.9285
16120.60,87.818
16120.80,87.6774
16121.00,88.0122
16121.20,87.8381
16121.40,87.8482
16121.60,87.9151
16121.80,87.818
16122.00,87.8616
16122.20,87.798
16122.40,87.9854
16122.60,88.0323
16122.80,87.9017
16123.00,88.1562
16123.20,88.0457
16123.40,87.9888
16123.60,88.039
16123.80,88.1696
16124.00,88.0758
16124.20,88.1093
16124.40,88.1127
16124.60,88.2667
16124.80,88.2365
16125.00,88.1461
16125.20,88.106
16125.40,88.1227
16125.60,88.1729
16125.80,88.2667
16126.00,88.2466
16126.20,88.2868
16126.40,88.3403
16126.60,88.1763
16126.80,88.3939
16127.00,88.2993
16127.20,88.1964
16127.40,88.2365
16127.60,88.2365
16127.80,88.3604
16128.00,88.501
16128.20,89.1673
16128.40,100.9355
16128.60,101.1029
16128.80,100.9087
16129.00,100.5404
16129.20,101.6285
16129.40,100.7513
16129.60,102.8707
16129.80,109.1749
16130.00,108.6292
16130.20,109.7273
16130.40,86.2344
16130.60,80.265
16130.80,85.4142
16131.00,86.3114
16131.20,86.3349
16131.40,86.1742
16131.60,86.0838
16131.80,86.2445
16132.00,86.3617
16132.20,86.0603
16132.40,86.2143
16132.60,86.1106
16132.80,86.3181
16133.00,86.1876
16133.20,86.1708
16133.40,86.0269
16133.60,86.3114
16133.80,85.99
16134.00,86.221
16134.20,86.1842
16134.40,86.0536
16134.60,86.1976
16134.80,86.1876
16135.00,85.9666
16135.20,86.1507
16135.40,86.1608
16135.60,86.1039
16135.80,86.0536
16136.00,85.8528
16136.20,86.0135
16136.40,85.9398
16136.60,85.9867
16136.80,86.0637
16137.00,85.6954
16137.20,85.5715
16137.40,85.5113
16137.60,85.7456
16137.80,85.7289
16138.00,85.8193
16138.20,85.8896
16138.40,85.8528
16138.60,85.7825
16138.80,85.759
16139.00,85.9264
16139.20,85.8896
16139.40,85.7389
16139.60,85.6686
16139.80,85.7456
16140.00,85.826
16140.20,85.7155
16140.40,85.8427
16140.60,85.9197
16140.80,85.6351
16141.00,85.6418
16141.20,85.7691
16141.40,85.6787
16141.60,85.7021
16141.80,86.0637
16142.00,85.9733
16142.20,85.8795
16142.40,86.0302
16142.60,86.047
16142.80,85.9666
16143.00,86.1373
16143.20,85.9398
16143.40,86.1407
16143.60,86.0001
16143.80,85.9164
16144.00,85.6418
16144.20,86.0168
16144.40,86.201
16144.60,86.0838
16144.80,85.9398
16145.00,86.0001
16145.20,86.1039
16145.40,85.9398
16145.60,86.2646
16145.80,86.3851
16146.00,86.124
16146.20,86.1976
16146.40,86.4085
16146.60,86.3315
16146.80,86.1139
16147.00,86.1608
16147.20,86.3751
16147.40,86.3349
16147.60,86.0972
16147.80,86.1541
16148.00,86.1876
16148.20,86.4989
16148.40,86.2277
16148.60,86.3248
16148.80,86.2277
16149.00,86.442
16149.20,86.3081
16149.40,86.3717
16149.60,86.3315
16149.80,86.2847
16150.00,86.4119
16150.20,86.1474
16150.40,86.2746
16150.60,86.1909
16150.80,86.298
16151.00,86.3315
16151.20,86.5358
16151.40,86.3315
16151.60,86.221
16151.80,86.2947
16152.00,86.2512
16152.20,86.2847
16152.40,86.2579
